"PolicyNumber","FraudFound","Make","AccidentArea","Sex","MaritalStatus","AgeOfPolicyHolder","Fault","VehicleCategory","VehiclePrice","PoliceReportFiled","WitnessPresent","AddressChange.Claim","NumberOfCars"
92,0,"Pontiac","Urban","Male","Single","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","1 year","1 vehicle"
95,1,"Honda","Urban","Male","Single","31 to 35","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
97,1,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
101,1,"Chevrolet","Urban","Male","Married","31 to 35","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
102,0,"Pontiac","Urban","Female","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
107,0,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
112,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
114,1,"Accura","Rural","Male","Married","51 to 65","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
117,0,"Pontiac","Urban","Male","Married","31 to 35","Third Party","Sedan","30,000 to 39,000","No","Yes","no change","1 vehicle"
119,1,"Mazda","Urban","Male","Single","over 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
120,1,"Honda","Rural","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
122,0,"Honda","Rural","Female","Married","21 to 25","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
127,0,"Dodge","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","Yes","No","4 to 8 years","2 vehicles"
132,0,"Honda","Urban","Male","Single","21 to 25","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
137,0,"Toyota","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
142,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
147,0,"Mazda","Urban","Male","Single","31 to 35","Third Party","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
148,1,"Toyota","Rural","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","under 6 months","2 vehicles"
152,0,"Pontiac","Urban","Male","Single","26 to 30","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
157,0,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
161,1,"Chevrolet","Urban","Male","Married","31 to 35","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
162,0,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
167,0,"Honda","Urban","Male","Married","51 to 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
172,0,"Mazda","Urban","Male","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
177,0,"Saab","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
182,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
187,0,"Honda","Urban","Male","Single","16 to 17","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
190,1,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","4 to 8 years","2 vehicles"
192,0,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
193,1,"Chevrolet","Urban","Male","Married","31 to 35","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
195,1,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
197,0,"Honda","Urban","Male","Married","36 to 40","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
202,0,"Mazda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
205,1,"Pontiac","Urban","Male","Married","36 to 40","Third Party","Sedan","less than 20,000","No","No","2 to 3 years","1 vehicle"
207,1,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
212,0,"Honda","Rural","Female","Married","36 to 40","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
217,0,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","Yes","No","no change","1 vehicle"
222,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sport","less than 20,000","No","No","no change","1 vehicle"
227,0,"Saab","Urban","Male","Married","31 to 35","Third Party","Sedan","30,000 to 39,000","No","No","no change","more than 8"
229,1,"Pontiac","Rural","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
232,0,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
233,1,"Chevrolet","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
236,1,"Chevrolet","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
237,0,"Pontiac","Rural","Female","Single","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","Yes","no change","1 vehicle"
242,0,"Mazda","Urban","Female","Single","26 to 30","Policy Holder","Sport","20,000 to 29,000","No","No","under 6 months","1 vehicle"
247,0,"Ford","Urban","Male","Married","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","no change","3 to 4"
252,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
257,0,"VW","Urban","Male","Married","41 to 50","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
262,0,"Accura","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
267,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
272,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
277,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
282,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
287,0,"Mazda","Urban","Female","Single","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
292,0,"Toyota","Urban","Female","Married","51 to 65","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
297,0,"Honda","Urban","Male","Single","36 to 40","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
298,1,"Pontiac","Urban","Male","Single","36 to 40","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
302,0,"Honda","Urban","Female","Single","26 to 30","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
307,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
309,1,"Pontiac","Rural","Male","Married","41 to 50","Policy Holder","Sedan","less than 20,000","No","No","under 6 months","1 vehicle"
310,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
312,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
316,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Utility","more than 69,000","No","No","4 to 8 years","2 vehicles"
317,0,"Accura","Urban","Male","Single","41 to 50","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
318,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
322,0,"Saturn","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
327,0,"Honda","Rural","Female","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
332,0,"Pontiac","Urban","Female","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
337,0,"Honda","Urban","Male","Single","26 to 30","Policy Holder","Sport","more than 69,000","No","No","4 to 8 years","2 vehicles"
342,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
347,0,"Ford","Rural","Male","Married","41 to 50","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
352,0,"Honda","Urban","Male","Married","over 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
357,0,"Chevrolet","Urban","Female","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
362,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
367,1,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","under 6 months","1 vehicle"
372,0,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
377,0,"Mazda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
381,1,"Ford","Urban","Male","Married","51 to 65","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
382,0,"Honda","Urban","Female","Single","31 to 35","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
386,1,"Honda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
387,0,"VW","Urban","Male","Married","36 to 40","Third Party","Sedan","60,000 to 69,000","No","No","no change","1 vehicle"
392,0,"Ford","Rural","Male","Single","31 to 35","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
397,0,"Pontiac","Urban","Male","Married","31 to 35","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
402,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
406,1,"Accura","Urban","Male","Married","41 to 50","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
407,0,"Chevrolet","Urban","Male","Married","31 to 35","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
409,1,"Pontiac","Urban","Female","Married","31 to 35","Third Party","Sedan","30,000 to 39,000","No","No","2 to 3 years","1 vehicle"
412,0,"Mazda","Rural","Male","Married","41 to 50","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
417,0,"Honda","Urban","Male","Single","36 to 40","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
422,0,"Chevrolet","Urban","Male","Married","over 65","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
427,0,"Toyota","Urban","Male","Married","41 to 50","Third Party","Sedan","less than 20,000","Yes","No","no change","1 vehicle"
432,0,"Mercury","Rural","Male","Married","36 to 40","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
437,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
442,0,"Honda","Urban","Male","Single","16 to 17","Third Party","Sedan","more than 69,000","No","No","4 to 8 years","2 vehicles"
447,0,"Honda","Urban","Male","Single","26 to 30","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
450,1,"Honda","Rural","Female","Single","31 to 35","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
452,0,"Mazda","Urban","Female","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","3 to 4"
457,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
462,0,"Toyota","Urban","Female","Married","26 to 30","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
467,0,"Mazda","Urban","Male","Single","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
472,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
477,0,"Pontiac","Urban","Male","Single","26 to 30","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
482,0,"VW","Urban","Female","Married","41 to 50","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
487,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
492,0,"Mazda","Urban","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
497,0,"Mazda","Rural","Male","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
502,0,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
504,1,"Pontiac","Rural","Male","Married","over 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
507,0,"Toyota","Urban","Male","Single","31 to 35","Third Party","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
509,1,"Toyota","Rural","Male","Single","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
512,0,"Toyota","Urban","Female","Married","41 to 50","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
517,0,"Pontiac","Urban","Male","Single","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
522,0,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
523,1,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
527,0,"Honda","Urban","Male","Married","36 to 40","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
529,1,"Mazda","Rural","Male","Married","36 to 40","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
532,0,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
534,1,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","3 to 4"
537,1,"Chevrolet","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
539,1,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
542,0,"Chevrolet","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
543,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
547,0,"Chevrolet","Urban","Male","Married","41 to 50","Third Party","Sedan","30,000 to 39,000","No","No","1 year","2 vehicles"
552,0,"Pontiac","Rural","Male","Married","over 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
557,1,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
562,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","less than 20,000","No","No","2 to 3 years","1 vehicle"
565,1,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
567,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
572,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
577,0,"Honda","Urban","Male","Single","26 to 30","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
582,0,"Pontiac","Urban","Male","Married","36 to 40","Third Party","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
587,0,"Pontiac","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
592,0,"Mazda","Urban","Male","Single","31 to 35","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
597,0,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
602,0,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
607,1,"Pontiac","Urban","Male","Single","26 to 30","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
612,0,"Toyota","Rural","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
617,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
618,1,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
622,0,"Mazda","Urban","Female","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
627,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
632,0,"Pontiac","Urban","Female","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
637,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
642,0,"Pontiac","Rural","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
647,1,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
650,1,"Chevrolet","Rural","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
652,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","4 to 8 years","2 vehicles"
657,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sport","less than 20,000","No","No","no change","3 to 4"
662,0,"Pontiac","Urban","Male","Married","over 65","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
664,1,"VW","Urban","Male","Married","31 to 35","Third Party","Sedan","60,000 to 69,000","No","No","2 to 3 years","1 vehicle"
667,1,"Chevrolet","Urban","Male","Married","over 65","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
672,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
677,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
682,0,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
687,0,"Pontiac","Urban","Male","Married","41 to 50","Third Party","Utility","more than 69,000","Yes","No","no change","1 vehicle"
692,0,"Pontiac","Rural","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
697,0,"VW","Urban","Male","Married","41 to 50","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
701,1,"Mazda","Rural","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
702,0,"Honda","Urban","Female","Married","36 to 40","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
707,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
712,0,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
714,1,"Toyota","Urban","Female","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
717,0,"Honda","Urban","Female","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
722,0,"Mercury","Urban","Male","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
727,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
732,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
737,0,"Chevrolet","Urban","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
742,0,"Chevrolet","Urban","Male","Married","41 to 50","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
747,0,"Toyota","Urban","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
752,0,"Honda","Urban","Male","Single","18 to 20","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
757,0,"Toyota","Urban","Male","Single","over 65","Policy Holder","Sedan","less than 20,000","No","No","4 to 8 years","2 vehicles"
758,1,"Dodge","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
762,0,"Mazda","Urban","Male","Married","36 to 40","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
767,0,"Pontiac","Urban","Male","Married","31 to 35","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
768,1,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
772,0,"Chevrolet","Urban","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
777,0,"Toyota","Urban","Male","Married","51 to 65","Third Party","Sedan","more than 69,000","No","No","no change","1 vehicle"
782,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
787,0,"Honda","Urban","Male","Married","26 to 30","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
790,1,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
792,0,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
797,1,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
799,1,"Chevrolet","Urban","Female","Single","31 to 35","Policy Holder","Sedan","more than 69,000","No","No","4 to 8 years","2 vehicles"
802,0,"Honda","Urban","Male","Married","36 to 40","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
807,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
812,0,"Honda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
814,1,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","Yes","No","no change","1 vehicle"
817,0,"Honda","Urban","Male","Single","26 to 30","Third Party","Sedan","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
822,0,"Ford","Rural","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
824,1,"Honda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
827,0,"Honda","Urban","Male","Single","26 to 30","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
828,1,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
831,1,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
832,0,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
837,0,"Toyota","Urban","Female","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
842,0,"Pontiac","Urban","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
845,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
847,0,"Ford","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
849,1,"Saab","Urban","Male","Married","51 to 65","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
852,0,"Mazda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
857,0,"Mazda","Rural","Female","Married","31 to 35","Third Party","Sedan","more than 69,000","No","No","no change","1 vehicle"
862,0,"Honda","Rural","Male","Married","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","4 to 8 years","3 to 4"
